ValidName,Synonyms
Artitropa erinnys radiata,Artitropa radiata
Artitropa erinnys vansomereni,Artitropa vansomereni
Artitropa erinnys,Pamphila erinnys
Artitropa hollandi,
Artitropa milleri coryndon,Artitropa coryndon
Artitropa milleri,
Artitropa principetome,
Artitropa reducta,
Artitropa usambarae,
Asbolis capucinus,"Goniloba sandarac, Hesperia palaea, Eudamus capucinus"
Aspitha agenoria cruor,Pyrrhopyge cruor
Aspitha agenoria sanies,Pyrrhopyge sanies
Aspitha agenoria,Pyrrhopyga agenoria
Aspitha aspitha parima,Pyrrhopyga parima
Aspitha aspitha rufescens,Yanguna rufescens
Aspitha aspitha,"Aspitha teffa, Pyrrhopyga aspitha"
Aspitha bassleri,Pyrrhopyge bassleri
Aspitha leander,Yanguna leander
Astictopterus abjecta,"Cyclopides uniformis, Leptalina niangarensis, Steropes furvus, Cyclopides abjecta, Pamphila abjecta"
Astictopterus anomoeus,"Apaustus anomoeus, Astictopterus anomaeus"
Astictopterus bruno,Isoteinon bruno
Astictopterus chinensis,"Steropes nubilus, Cyclopides chinensis"
Astictopterus inornatus,Cyclopides inornatus
Astictopterus jama,"Isoteinon melania, Tagiades pulligo, Isoteinon subterranea"
Astictopterus olivascens,"Astictopterus quadripunctatus, Astictopterus permagnus, Astictopterus tonkinianus, Cyclopides henrici, Astictopterus kada"
Astictopterus punctulata,"Ceratrichia punctulata, Isoteinon punctulata"
Astictopterus stellata amania,Astictopterus amania
Astictopterus stellata mineni,Cyclopides mineni
Astictopterus stellata,Ceratrichia stellata
Astictopterus tura,
Astraptes alardus aquila,Astraptes aquila
Astraptes alardus habana,Eudamus habana
Astraptes alardus heriul,"Telegonus heriul, Telegonus antiquus, Telegonus domingensis"
Astraptes alardus latia,Astraptes latia
Astraptes alardus,"Papilio alardus, Telegonus fabrici"
Astraptes alector hopfferi,"Astraptes gilberti, Thracides uridon, Eudamus hopfferi"
Astraptes alector,Eudamus alector
Astraptes anaphus anausis,"Telegonus roysi, Telegonus cubana, Telegonus alpistus, Thymele grenadensis, Telegonus anausis"
Astraptes anaphus aniza,Astraptes aniza
Astraptes anaphus annetta,Astraptes annetta
Astraptes anaphus anoma,Astraptes anoma
Astraptes anaphus,"Telegonus anaphides, Papilio leucogramma, Papilio anaphus, Telegonus anaphus  , Aethilla anaphus"
Astraptes apastus pusa,Astraptes pusa
Astraptes apastus,"Eudamus briccius, Papilio apastus"
Astraptes audax,
Astraptes augeas,
Astraptes aulus,"Thymele fulviluna, Eudamus aulus"
Astraptes boreas,
Astraptes brevicauda,"Thymele eniopeus, Eudamus talthybius, Goniurus brevicauda"
Astraptes cassander,"Telegonus geronae, Eudamus cretellus, Hesperia cassander, Aethilla jariba"
Astraptes chiriquensis erana,Astraptes erana
Astraptes chiriquensis meretrix,Eudamus meretrix
Astraptes chiriquensis oenander,Eudamus oenander
Astraptes chiriquensis,"Aethilla weymeri, Telegonus godmani, Telegonus chiriquensis"
Astraptes cretatus adoba,Astraptes adoba
Astraptes cretatus,"Astraptes alfius, Telegonus cretatus"
Astraptes creteus crana,"Astraptes crana, Astraptes escalantei"
Astraptes creteus crilla,Astraptes crilla
Astraptes creteus cyprus,Astraptes cyprus
Astraptes creteus siges,Telegonus siges
Astraptes creteus,"Papilio creteus, Papilio parmenides"
Astraptes egregius coxeyi,Eudamus coxeyi
Astraptes egregius,Telegonus egregius
Astraptes elorus,"Telegonus subblasius, Eudamus elorus, Telegonus pheres, Eudamus blasius"
Astraptes enotrus,"Thymele aulicus, Papilio enotrus"
Astraptes erycina,Eudamus erycina
Astraptes favilla,
Astraptes fruticibus,
Astraptes fulgerator azul,"Thymele albifasciatus, Astraptes catemacoensis, Goniloba azul, Eudamus misitra"
Astraptes fulgerator,"Thymele discalis, Hesperia mercatus, Papilio fulgerator, Papilio fulminator"
Astraptes fulgor,Telegonus fulgor
Astraptes galesus cassius,Astraptes cassius
Astraptes galesus,"Telegonus galesus, Telegonus subflavus"
Astraptes halesius,"Eudamus halesius, Thymele anthius"
Astraptes inflatio,
Astraptes jaira,"Telegonus jamaicensis, Aethilla jaira"
Astraptes janeira,"Telegonus janeira, Papilio aulestis, Papilio aulestes"
Astraptes latimargo bifascia,Eudamus bifascia
Astraptes latimargo tinda,Astraptes tinda
Astraptes latimargo,"Telegonus cartomes, Eudamus latimargo, Thymele grullus"
Astraptes mabillei,
Astraptes megalurus,"Telegonus consus, Telegonus megalurus"
Astraptes naxos,"Eudamus naxos, Thymele subfasciatus"
Astraptes obstupefactus,
Astraptes palliolum,Thymele palliolum
Astraptes phalaecus,Thymele phalaecus
Astraptes procrastinator,
Astraptes synecdoche,
Astraptes talus,"Hesperia ausonius, Goniurus virens, Eudamus sumadue, Papilio lucidator, Papilio talus"
Astraptes tucuti,Telegonus tucuti
Astraptes viracocha,
Astraptes xagua christyi,"Thymele angustus, Telegonus christyi"
Astraptes xagua,"Goniloba malefida, Eudamus xagua"
Atalopedes bahiensis,Thymelicyus bahiensis
Atalopedes campestris huron,"Hesperia huron, Hesperia amphissa, Hesperia augustus, Pamphila kedema"
Atalopedes campestris,"Hesperia campestris, Atalopedes tenebricosus"
Atalopedes carteri,
Atalopedes flaveola,"Pamphila flaveola, Atalopedes clarkei"
Atalopedes mesogramma apa,Atalopedes apa
Atalopedes mesogramma,"Goniloba conformis, Hesperia mesogramma, Hesperia alameda, Hesperia cunaxa"
Atarnes sallei,"Atarnes angustemarginata, Leucochitonea sallei, Pythonides sallei  , Atarnes sallaei  , Atarnes sallii  , Atarnes aungusteomarginata  , Atarnes sallae"
Atrytone arogos iowa,Hesperia iowa
Atrytone arogos,"Hesperia arogos, Hesperia mutius, Atrytone mutius  , Phycanassa arogos"
Atrytonopsis austinorum,
Atrytonopsis cestus,Pamphila cestus
Atrytonopsis deva,Hesperia deva
Atrytonopsis edwardsi,Atrytonopsis polingi
Atrytonopsis frappenda,"Lychnucoides frappenda, Atrytonopsis zweifeli"
Atrytonopsis hianna turneri,Atrytonopsis turneri
Atrytonopsis hianna,"Hesperia hianna, Hesperia grotei, Atrytonopsis grotei  , Lerema hianna"
Atrytonopsis llorentei,
Atrytonopsis loammi,"Parnara apostologica, Lerema loammi, Pamphila regulus, Atrytonopsis regulus  , Atrytonopsis apostologica"
Atrytonopsis lunus,Pamphila lunus
Atrytonopsis ovinia zaovinia,"Thespieus zaovinia, Lerodea? rupilius"
Atrytonopsis ovinia,Hesperia ovinia
Atrytonopsis pittacus,Pamphila pittacus
Atrytonopsis python,"Pamphila margarita, Pamphila python"
Atrytonopsis vierecki,Pamphila vierecki
Augiades crinisus,"Papilio crinisus, Entheus crinissus  , Phareas crinisus  , Lignyostola crinisus"
Augiades epimethea bicolor,Lignyostola bicolor
Augiades epimethea,"Lygnyostola sapucaya, Lignyostola cydana, Phareas epimethea, Augiades epimetha"
Aurina dida,
Autochton bipunctatus,"Cecropterus zonilis, Cecropterus orontes, Papilio bipunctatus, Cecropterus bipunctatus"
Autochton cellus,"Rhabdoides aereofuscus, Rhabdoides mexicana, Eudamus cellus, Rhabdoides leilae, Cecrops festus"
Autochton cincta,"Telegonus rotundatus, Cecropterus cincta"
Autochton integrifascia,Cecropterus integrifascia
Autochton itylus,
Autochton longipennis,"Cecropterus punctisignatus, Cecropterus longipennis, Cecropterus capys"
Autochton neis,"Cecropterus dhega, Cecropterus bocus, Cecropterus lunulus, Spathilipia agathokles, Cecrops neis"
Autochton pseudocellus,Achalarus pseudocellus
Autochton reflexus,Cecropterus reflexus
Autochton siermadror,
Autochton sulfureolus,Cecropterus sulfureolus
Autochton vectilucis,Eudamus vectilucis
Autochton zarex,"Spathilipia jsokrates, Papilio brontes, Autochton assaracus, Papilio aunus, Cecrops zarex"
Azonax typhaon,Myscelus typhaon
Badamia atrox collenettei,Badamia collenettei
Badamia atrox flava,Badamia flava
Badamia atrox subflava,Badamia subflava
Badamia atrox,Hesperia atrox
Badamia exclamationis,"Hesperia ericus, Ismene thymbron, Papilio exclamationis, Papilio ladon, Calpodes forulus"
Banta anna,Mimene anna
Banta banta,
Banta fulvomargo,Telicota fulvomargo
Banta linnei,
Baoris farri scopulifera,Baoris scopulifera
Baoris farri,"Baoris sikkima, Baoris longistigmata, Hesperia farri"
Baoris leechii,Parnara leechii
Baoris oceia,"Pamphila neophytes, Hesperia oceia, Parnara jetavana, Parnara simillima"
Baoris pagana,Parnara pagana
Baoris penicillata brenda,Baoris brenda
Baoris penicillata chapmani,Baoris chapmani
Baoris penicillata unicolor,Baoris unicolor
Baoris penicillata,
Baracus vittatus gotha,Baracus gotha
Baracus vittatus hampsoni,Baracus hampsoni
Baracus vittatus septentrionum,Baracus septentrionum
Baracus vittatus subditus,Baracus subditus
Baracus vittatus,"Hesperilla eaclis, Isoteinon vittatus"
Barca bicolor,Dejeania bicolor
Bettonula bettoni nimba,Celaenorrhinus nimba
Bettonula bettoni,"Celaenorrhinus bettoni, Celaenorrhinus modestus, Sarangesa hypoxanthina"
Bibasis iluska,"Ismene rubrocincta, Ismene iluska"
Bibasis mahintha,Ismene mahintha
Bibasis nestor,"Ismena atrinota, Ismene zonaras, Ismene ionis, Ismene antigone, Ismene firdusi, Bibasis sambavana, Ismene nestor"
Bibasis sena alor,Bibasis alor
Bibasis sena palawana,Ismene palawana
Bibasis sena senata,Bibasis senata
Bibasis sena uniformis,Bibasis uniformis
Bibasis sena vaicravana,Bibasis vaicravana
Bibasis sena,Goniloba sena
Bolla antha,
Bolla atahuallpai,Pholisora atahuallpai
Bolla boliviensis,Pholisora boliviensis
Bolla brennus vexta,Bolla vexta
Bolla brennus,"Antigonus brennus, Staphylus brennus"
Bolla catharina,Pholisora catharina
Bolla clytius,"Pholisora clytius, Bolla semitincta"
Bolla cupreiceps,Antigonus cupreiceps
Bolla cybele,
Bolla cyclops,Achlyodes cyclops
Bolla cylindus,Staphylus cylindus
Bolla dorsolaciniae,
Bolla eusebius,"Pholisora aplica, Bolla subgisela, Nisoniades eusebius"
Bolla evippe,Staphylus evippe
Bolla fenestra,
Bolla giselus guerra,Bolla guerra
Bolla giselus oriza,Bolla oriza
Bolla giselus tornea,Bolla tornea
Bolla giselus,"Hesperia giselus, Nisoniades tetra, Achlyodes ancholis, [no genus] tetra"
Bolla imbras,"Staphylus imbras, Bolla pullata, [no genus] pullata, Bolla sodalis"
Bolla litus,"Staphylus litus, Pholisora smodora"
Bolla mancoi,Pholisora mancoi
Bolla morona lorea,Pholisora lorea
Bolla morona,Pholisora morona
Bolla nigerrima,"Pholisora banosa, Pholisora nubecula"
Bolla orsines,Staphylus orsines
Bolla phylo,"[no genus] phylo, Pholisora browni, Pholisora naranjapata"
Bolla saletas,Staphylus saletas
Bolla solitaria,
Bolla sonda,
Bolla subapicatus,"Pholisora chilpancingo, Staphylus subapicatus"
Bolla zora,
Bolla zorilla,"Pholisora hazelae, Antigonus zorilla, Pholisora madrea"
Borbo bevani,"Pamphila sarus, Parnara thyone, Hesperia bevani, Isoteinon modesta, Hesperia vaika"
Borbo binga,Baoris binga
Borbo borbonica morella,Pamphila morella
Borbo borbonica zelleri,"Pamphila holli, Borbo tarraconensis, Hesperia zelleri"
Borbo borbonica,"Hesperia senegalensis, Parnara continentalis, Hesperia borbonica, Pamphila borbonica-holli"
Borbo chagwa,"Parnara guttana, Pelopidas kilwa, Pelopidas chagwa"
Borbo cinnara,"Hesperia saruna, Hesperia urejus, Hesperia cinnara, Hesperia saturata, Parnara cingala, Hesperia colaca, Parnara taiwana"
Borbo cottrelli,
Borbo detecta,"Pamphila pyrrhobaphes, Pamphila fallatus, Baoris auritinctus, Pamphila detecta"
Borbo fallax,Parnara fallax
Borbo fanta,"Pelopidas barnesi, Pelopidas fanta"
Borbo fatuellus dolens,Pamphila dolens
Borbo fatuellus thomea,Baoris thomea
Borbo fatuellus,"Pamphila fatuellus, Pamphila cinerea, Hesperia caffraria"
Borbo ferruginea dondo,Borbo dondo
Borbo ferruginea,Parnara ferruginea
Borbo gemella,Pamphila gemella
Borbo havei,Hesperia havei
Borbo holtzi,"Pamphila aures, Baoris aequalis, Baoris caesia, Pelopidas rougeoti, Hesperia holtzi, Baoris cana, Hesperia holtzii"
Borbo impar lavinia,Baoris lavinia
Borbo impar tetragraphus,"Caltoris laraca, Carystus tetragraphus, Parnara sidata, Pelopidas lavella, Polytremis contigualis, Parnara bipunctata"
Borbo impar,"Pamphila impar, Baoris impar"
Borbo kaka,Baoris kaka
Borbo liana,Pelopidas liana
Borbo lugens,"Suastus plana, Pamphila xylos, Pamphila lugens, Baoris maranga"
Borbo micans,Parnara micans
Borbo perobscura,"Parnara perobscura, Parnara karschi, Parnara falarus, Parnara gemina, Parnara trigemina, Borbo falarus"
Borbo ratek,"Hesperia weymeri, Thymele ratek, Pamphila sinnis"
Borbo sirena,Pelopidas sirena
Borbo toshieae,
Bruna bruna,
Brusa allardi,
Brusa saxicola,Parnara saxicola
Bungalotis astylos,"Papilio astylos, Hesperia artylos  , Telegonus astylos"
Bungalotis aureus,
Bungalotis borax,
Bungalotis clusia,
Bungalotis diophorus,"Telegonus diophorus, Bungalotis diaphorus"
Bungalotis erythus,"Hesperia muretus, Papilio erythus, Telegonus erytrus  , Bungalotis erythrus  , Telegonus erythus"
Bungalotis gagarini,
Bungalotis lactos,
Bungalotis milleri,
Bungalotis quadratum barba,Bungalotis barba
Bungalotis quadratum,"Papilio quadratum, Telegonus annulicornis"
Bungalotis sipa,
Burara amara,"Ismene amara, Ismene pindapatra, Bibasis amara"
Burara anadi owstoni,Bibasis owstoni
Burara anadi purpurea,Ismene purpurea
Burara anadi,Choaspes? anadi
Burara aquilina siola,Bibasis siola
Burara aquilina,"Ismene jankowskii, Proteides chrysaeglia, Ismene aquilina"
Burara etelka imperialis,"Bibasis veteratrix, Ismene imperialis, Ismene castnioides"
Burara etelka,Ismene etelka
Burara gomata kanara,Ismene kanara
Burara gomata lalita,"Ismene vajra, Ismene lalita"
Burara gomata lara,Ismene lara
Burara gomata lorquini,"Ismene lorquini, Ismene mindorana"
Burara gomata minda,Burara minda
Burara gomata radiosa,Ismene radiosa
Burara gomata,Ismene gomata
Burara harisa andamana,Burara andamana
Burara harisa aphrodite,"Ismene mangolina, Ismene aphrodite"
Burara harisa consobrina,"Burara sumara, Ismene crinatha, Ismene moncada, Ismene distanti, Ismene consobrina"
Burara harisa grandis,Bibasis grandis
Burara harisa niasana,Burara niasana
Burara harisa pala,Bibasis pala
Burara harisa,"Ismene harisa, Ismene asambha"
Burara jaina astigmata,Ismene astigmata
Burara jaina fergusonii,Ismene fergusonii
Burara jaina formosana,Ismene formosana
Burara jaina margana,Ismene margana
Burara jaina velva,Ismene velva
Burara jaina,"Ismene jaina, Ismene vasundhara"
Burara miracula,Bibasis miracula
Burara nishiyamai,
Burara oedipodea ataphus,Ismene ataphus
Burara oedipodea belesis,"Ismene belesis, Ismene athena, Ismene aegina"
Burara oedipodea excellens,"Ismene excellens, Ismene oedipus"
Burara oedipodea paltra,Bibasis paltra
Burara oedipodea,Ismene oedipodea
Burara phul,"Ismene lusca, Ismene phul, Ismene tolo"
Burara striata,"Ismene striata, Ismene septentrionis"
Burara tuckeri,Ismene tuckeri
Burara vasutana,"Bibasis unipuncta, Ismene vasutana, Ismene rahita, Burara burma"
Burca braco castigata,Burca castigata
Burca braco,"Nisoniades undulatus, Nisoniades braco, Nisoniades isabellina"
Burca concolor atrata,Burca atrata
Burca concolor,Nisoniades concolor
Burca cubensis,Ephyriades cubensis
Burca hispaniolae,
Burca stillmani,
Butleria bissexguttatus,"Steropes? bissexguttatus, Butleria apertus, Butleria bisexguttata  , Butleria bisexguttatus"
Butleria elwesi,Butleria evansi
Butleria flavomaculatus tristriata,"Butleria duseni, Butleria tristriata"
Butleria flavomaculatus valdivianus,"Syrichthus valdivianus, Cyclopides facetus"
Butleria flavomaculatus,"Syrichtus flavomaculatus, Carterocephalus exornatus, Butleria flavomaculata"
Butleria fruticolens,"Butleria patagonica, Cyclopides pulcher, Cyclopides quadrinotatus, Cyclopides tractipennis, Cyclopides fruticolens, Butleria notabus"
Butleria paniscoides polyspilus,"Butleria vicina, Carterocephalus polyspilus"
Butleria paniscoides,"Butleria cauquenensis, Steropes paniscoides"
Butleria quilla,
Butleria sotoi,"Cyclopides vitus, Cyclopides philippii, Cyclopides philippi"
Buzyges benito,Poanes benito
Buzyges idothea,Padraona suborbicularis
Buzyges mellanaformis,
Buzyges rolla,"Pamphila rolla, Pamphila lagon, Hesperia piso"
Cabares potrillo reducta,Cabares reducta
Cabares potrillo,"Thanaos paterculus, Thanaos potrillo"
Cabares rinta,
Cabirus procas junta,Cabirus junta
Cabirus procas purda,Cabirus purda
Cabirus procas,"Papilio julettus, Papilio procas"
Caenides benga,Proteides benga
Caenides dacela,"Hesperia dacela, Hesperia nydia"
Caenides dacenilla,
Caenides dacenova,
Caenides kangvensis,
Caenides lukolela,
Caenides otilia,"Caenides banta, Caenides evansi"
Caenides soritia,"Hesperia soritia, Proteides xantho"
Caenides xychus,"Proteides xychus, Caenides feminina"
Caligulana caligula,"Hesperia? caligula, Hesperia caligula"
Calleagris hollandi,Sarangesa hollandi
Calleagris jamesoni ansorgei,Calleagris ansorgei
Calleagris jamesoni jacksoni,Calleagris jacksoni
Calleagris jamesoni,"Antigonus jamesoni, Calleagris neavei, Calleagris gava, Eagris kigonserensis"
Calleagris lacteus dannatti,Tagiades dannatti
Calleagris lacteus,Tagiades lacteus
Calleagris landbecki,Eagris landbecki
Calliades oryx,"Eudamus phrynicus, Thymele viridans, Eudamus oryx, Cecropterus oryx  , Thymele phrynichus  , Calliades phrynicus"
Calliades zeutus,"Calliades rhacoces, Cecropterus koluthos, Thymele polias, Cecropterus zeutus, Calliades rhacodes  , Cecropterus zentus"
Callimormus alsimo,"Callimormus omadius, Apaustus filata, Apaustus alsimo, Callimormus filiata  , Callimormus filata"
Callimormus corades,"Callimormus igarapus, Pamphila sporus, [no genus] sporus, Cobalus decrepida, Ancyloxypha corades, Callimormus sporus  , Callimormus igaparus"
Callimormus corus,
Callimormus interpunctata,"Callimormus diaeses, Apaustus interpunctata"
Callimormus juventus,"Apaustus polita, Callimormus jnventus"
Callimormus radiola elegans,Callimormus elegans
Callimormus radiola janna,Callimormus janna
Callimormus radiola pusillus,Callimormus pusillus
Callimormus radiola,Ancyloxipha radiola
Callimormus rivera,"Megistias eorius, Hesperia rivera, Apaustus vopiscella, Hesperia beda, Megistias corius  , Callimormus beda"
Callimormus saturnus,"Cobalus saturnus, Apaustus tenera, Callimormus saturunus"
Callimormus simplicius,
Calpodes ethlius,"Hesperia chemnis, Eudamus? olynthus, Papilio ethlius, Eudamus olynthus  , Calpodes aethlius  , Calpodes ethelius  , Calpodes ethlinus  , Calpodes ethlicus  , Calpodes ethlis  , Calpodes ethluis  , Calpodes ethilus"
Caltoris aurociliata,Parnara aurociliata
Caltoris beraka,"Pamphila gyas, Hesperia beraka, Parnara robusta"
Caltoris boisduvalii hilda,Baoris hilda
Caltoris boisduvalii,"Hesperia boisduvalii, Parnara hasoroides"
Caltoris bromus yanuca,"Parnara yanuca, Parnara giranna"
Caltoris bromus,"Parnara bromus, Baoris reducta"
