SampleID,VoucherID,ProjectCode,GeneKit,VoucherInstitution,SpecimenProvider,Superfamily,Family,Subfamily,Tribe,Section,Genus,Species,SubSpecies,UsrValidName,TissueType,VoucherType,Sex,Country,Province,Island(ifapplicable),Locality,Latitude,Longitude,Elevation,CollectionDate,CollectionDay,CollectionMonth,CollectionYear,Collector,SpecimenIdentifiedby,TypeSpecies,OutGroup,Prioritylevel,SubmissionCode,SubmissionDate,SheetName,Notes
80,80,Hesp,,,,Papilionoidea,Hesperiidae,,,,Capila,phanaeus,phanaeus,Capila phanaeus,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,20. Jun. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
81,81,Hesp,,,,Papilionoidea,Hesperiidae,,,,Suastus,minutus,aditia,Suastus minutus,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,9. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
05-srnp-03521,,Hesp,,UMD,Charles Mitter,Papilionoidea,Hesperiidae,Hesperiinae,,,Dubiella,belpa,,Dubiella belpa,,alcoholic,,,,,,,,,,,,,,,,,,,Fall 2017,UMD_BNetSamplesNeeded_1-6-18_KMDedit.xls,
05-srnp-03559,,,,UMD,Charles Mitter,Papilionoidea,Nymphalidae,Satyrinae,Brassolini,,Caligo ,atreus,,Caligo  atreus,,alcoholic,,Costa Rica,,,,,,,,,,,,,,,,,Fall 2017,UMD_BNetSamplesNeeded_1-6-18_KMDedit.xls,
05-srnp-03634,,Hesp,,UMD,Charles Mitter,Papilionoidea,Hesperiidae,Eudaminae,,,Telemiades,oiclus,,Telemiades oiclus,,alcoholic,,,,,,,,,,,,,,,,,,,Fall 2017,UMD_BNetSamplesNeeded_1-6-18_KMDedit.xls,
05-srnp-03670,,,,UMD,Charles Mitter,Papilionoidea,Nymphalidae,Satyrinae,Haeterini,,Pierella ,helvetia,,Pierella  helvetia,,alcoholic,,Costa Rica,,,,,,,,,,,,,,,,,Fall 2017,UMD_BNetSamplesNeeded_1-6-18_KMDedit.xls,
05-srnp-03900,,Hesp,,UMD,Charles Mitter,Papilionoidea,Hesperiidae,Pyrginae,Achylodini,,Pythonides,proxenus,,Pythonides proxenus,,alcoholic,,,,,,,,,,,,,,,,,,,Fall 2017,UMD_BNetSamplesNeeded_1-6-18_KMDedit.xls,
05-srnp-04007,,Hesp,,UMD,Charles Mitter,Papilionoidea,Hesperiidae,Hesperiinae,Calpodini,,Saliana,placens,,Saliana placens,,alcoholic,,,,,,,,,,,,,,,,,,,Fall 2017,UMD_BNetSamplesNeeded_1-6-18_KMDedit.xls,
05-srnp-04082,,Hesp,,UMD,Charles Mitter,Papilionoidea,Hesperiidae,Hesperiinae,Calpodini,,Aides,brino,,Aides brino,,alcoholic,,,,,,,,,,,,,,,,,,,Fall 2017,UMD_BNetSamplesNeeded_1-6-18_KMDedit.xls,
05-srnp-04126,,Hesp,,UMD,Charles Mitter,Papilionoidea,Hesperiidae,Pyrginae,Carcharodini,,Morvina ,fissimacula,pelarge,Morvina  fissimacula,,alcoholic,,,,,,,,,,,,,,,,,,,Fall 2017,UMD_BNetSamplesNeeded_1-6-18_KMDedit.xls,
05-srnp-04220,,Hesp,,UMD,Charles Mitter,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,,Tosta,platypterus,,Tosta platypterus,,alcoholic,,,,,,,,,,,,,,,,,,,Fall 2017,UMD_BNetSamplesNeeded_1-6-18_KMDedit.xls,
